epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7669,2.80317,17.6971,1.66027,0.01301,0.68421,0.12179,0.03681,2.46467,6.87104,1.33826,0.00012,0.00012,0.00012
2,74.3381,2.18488,5.52691,1.21822,0.0002,0.07895,0.00011,4e-05,2.4664,247.977,1.31306,0.000259357,0.000259357,0.000259357
3,111.537,2.31853,3.48538,1.25047,0.00014,0.05263,7e-05,3e-05,2.26098,25907.3,1.46076,0.00039802,0.00039802,0.00039802
4,150.317,2.189,3.80393,1.2606,0.00541,0.44737,0.0045,0.00174,2.2565,3824.04,1.45038,0.000535991,0.000535991,0.000535991
5,187.344,2.33646,2.8772,1.35794,7e-05,0.02632,4e-05,1e-05,3.9467,601570,21.3175,0.000673268,0.000673268,0.000673268
6,222.246,2.31844,2.44754,1.284,0.00014,0.05263,9e-05,1e-05,4.78511,4.80126e+08,8727.11,0.000809853,0.000809853,0.000809853
7,254.688,2.09216,2.53439,1.23756,0.00041,0.15789,0.00034,0.0001,3.99883,1.89381e+09,126998,0.000945744,0.000945744,0.000945744
8,286.371,2.42403,2.52475,1.28348,0.00027,0.10526,0.00027,5e-05,4.32038,2.6353e+10,4.67932e+06,0.00108094,0.00108094,0.00108094
9,317.593,2.27027,2.46082,1.26369,0.00027,0.10526,0.00021,6e-05,3.86769,3.51581e+12,2.20253e+08,0.00121545,0.00121545,0.00121545
10,350.414,2.19,2.45799,1.23287,0.00041,0.15789,0.00041,8e-05,3.62242,5.91165e+12,1.84236e+08,0.00134926,0.00134926,0.00134926
11,384.328,2.52726,2.25557,1.35034,0.00041,0.15789,0.00041,8e-05,3.33772,4.62047e+09,193332,0.00148238,0.00148238,0.00148238
12,414.473,2.38563,2.06264,1.3887,0.00041,0.15789,0.00041,8e-05,0,0,0,0.00161481,0.00161481,0.00161481
13,445.178,2.62492,2.10891,1.43087,0.00041,0.15789,0.00041,8e-05,0,0,0,0.00174654,0.00174654,0.00174654
14,479.192,2.33842,1.86861,1.39385,0.00041,0.15789,0.00041,8e-05,0,2.04401e+07,0,0.00187758,0.00187758,0.00187758
15,520.419,2.19372,1.88395,1.30112,0.00041,0.15789,0.00041,8e-05,0,7.74506e+06,0,0.0019307,0.0019307,0.0019307
16,556.097,2.23131,1.99662,1.23306,0.00041,0.15789,0.00041,8e-05,6.04502,5.41462e+07,101697,0.00192575,0.00192575,0.00192575
17,591.646,2.12933,1.36985,1.26538,0.00041,0.15789,0.00041,8e-05,5.82527,2.61468e+08,391743,0.0019208,0.0019208,0.0019208
18,627.676,2.1504,1.35788,1.23607,0.00041,0.15789,0.00041,8e-05,6.06664,2.64581e+08,780383,0.00191585,0.00191585,0.00191585
19,666.075,2.27262,1.46499,1.30037,0.00041,0.15789,0.00041,8e-05,0,1.17753e+07,0,0.0019109,0.0019109,0.0019109
20,702.954,2.14635,1.29233,1.20934,0.00041,0.15789,0.00041,8e-05,4.84189,344.128,60.1174,0.00190595,0.00190595,0.00190595
21,742.238,2.18425,1.46446,1.21473,0.00041,0.15789,0.00041,8e-05,3.30882,64.0791,3.00163,0.001901,0.001901,0.001901
22,781.659,2.10023,1.44003,1.19892,0.06989,0.05263,0.00712,0.00145,3.81394,5.78714,2.49368,0.00189605,0.00189605,0.00189605
23,818.301,2.12312,1.18532,1.18456,0.00105,0.10526,0.00043,0.00013,4.23508,137.447,4.50229,0.0018911,0.0018911,0.0018911
24,857.737,1.936,1.13543,1.17811,0.00031,0.02632,9e-05,1e-05,5.12373,794.93,14.7111,0.00188615,0.00188615,0.00188615
25,895.111,2.05911,1.37098,1.19865,0.00075,0.07895,0.00025,5e-05,4.68703,265.124,8.54249,0.0018812,0.0018812,0.0018812
26,935.461,1.96836,1.18489,1.20681,0.0141,0.05263,0.00271,0.00143,3.26736,8.53155,1.767,0.00187625,0.00187625,0.00187625
27,972.365,1.94925,1.23426,1.20952,0.0141,0.05263,0.00271,0.00143,4.79937,306.249,34.9335,0.0018713,0.0018713,0.0018713
28,1011.82,2.1546,1.24764,1.2628,0.0141,0.05263,0.00271,0.00143,3.95628,5.13386,4.57746,0.00186635,0.00186635,0.00186635
29,1055.84,1.99096,1.30548,1.21726,0.81461,0.34715,0.38265,0.16258,2.4898,2.28711,1.45713,0.0018614,0.0018614,0.0018614
30,1095.03,2.0767,1.0667,1.23536,0.44214,0.05263,0.04094,0.01708,3.30518,8.72707,2.56113,0.00185645,0.00185645,0.00185645
31,1133.09,1.99134,1.328,1.15951,0.00993,0.05263,0.00092,0.0003,3.44647,71.6568,7.98466,0.0018515,0.0018515,0.0018515
32,1169.45,1.96102,1.04571,1.18272,0.00993,0.05263,0.00092,0.0003,3.85989,24052.1,68.2768,0.00184655,0.00184655,0.00184655
