epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.486,2.60651,10.3505,1.45507,9e-05,0.03922,5e-05,2e-05,4.177,2.10935e+06,5.11137,0.00044,0.00044,0.00044
2,261.886,2.46757,3.4686,1.37423,9e-05,0.03922,5e-05,2e-05,0,4.49844e+08,0.16468,0.000897773,0.000897773,0.000897773
3,388.404,2.54546,4.01578,1.39902,3e-05,0.0098,2e-05,0,3.37108,38282.7,59.6707,0.00135327,0.00135327,0.00135327
4,527.367,2.47543,2.38076,1.3885,0.10256,0.07843,0.01845,0.0041,3.16292,336.739,7.48061,0.00180649,0.00180649,0.00180649
5,660.799,2.62768,2.36577,1.38048,0.00092,0.06863,0.0004,0.00017,2.68102,353.474,6.19977,0.0019802,0.0019802,0.0019802
6,786.726,2.4344,1.84702,1.31903,0.00029,0.06863,0.00018,7e-05,4.32196,73235.5,311.096,0.00197525,0.00197525,0.00197525
7,912.058,2.23688,1.4864,1.24928,0.00037,0.05882,0.00023,7e-05,4.61113,1.2722e+07,262198,0.0019703,0.0019703,0.0019703
8,1050.8,2.31273,1.49541,1.31434,0.00037,0.05882,0.00023,7e-05,1.70807,1.76902e+06,538.474,0.00196535,0.00196535,0.00196535
9,1203.15,2.30039,1.56167,1.30762,0.00705,0.13725,0.00234,0.0009,2.65681,326.681,4.55759,0.0019604,0.0019604,0.0019604
10,1340.28,2.25696,1.31001,1.28441,0.01442,0.04902,0.00406,0.00138,2.42339,35.0695,1.63661,0.00195545,0.00195545,0.00195545
11,1455.32,2.34298,1.31968,1.28732,0.01442,0.04902,0.00406,0.00138,0,557.733,0,0.0019505,0.0019505,0.0019505
12,1602.97,2.17627,1.33053,1.22798,0.60032,0.42157,0.42498,0.1353,2.27828,1.97786,1.30607,0.00194555,0.00194555,0.00194555
13,1736.47,2.20293,1.21842,1.23033,0.18565,0.43137,0.20878,0.07003,2.08445,8.48246,1.22364,0.0019406,0.0019406,0.0019406
14,1875.03,2.23998,1.30448,1.23914,0.6739,0.64835,0.67926,0.26317,1.93807,2.34344,1.16844,0.00193565,0.00193565,0.00193565
15,1992.19,2.12306,1.34813,1.1981,0.74185,0.66667,0.76788,0.29118,2.09563,1.3199,1.22147,0.0019307,0.0019307,0.0019307
16,2100.63,2.16888,1.20323,1.2385,0.87466,0.90196,0.8926,0.35799,1.85652,1.02161,1.13151,0.00192575,0.00192575,0.00192575
17,2211.55,2.17557,1.19067,1.2346,0.93849,0.89754,0.94591,0.40757,1.85324,1.02647,1.13329,0.0019208,0.0019208,0.0019208
18,2318.89,2.11565,1.20822,1.1989,0.77561,0.83333,0.84828,0.36457,1.99534,1.14883,1.17568,0.00191585,0.00191585,0.00191585
19,2428.91,2.13293,1.30238,1.19784,0.85234,0.91176,0.91426,0.39849,1.85327,1.06533,1.12348,0.0019109,0.0019109,0.0019109
20,2561.92,2.03187,1.17033,1.16266,0.66823,0.47059,0.41653,0.16231,1.93244,4.75262,1.15313,0.00190595,0.00190595,0.00190595
21,2682.14,2.08473,1.17574,1.19943,0.02088,0.70633,0.01985,0.00886,1.92118,8.68461,1.17195,0.001901,0.001901,0.001901
22,2804.42,2.08566,1.28287,1.208,0.09907,0.14706,0.04673,0.01514,2.03121,20.6574,1.20608,0.00189605,0.00189605,0.00189605
23,2921.05,2.12886,1.25921,1.24334,0.91992,0.90094,0.95783,0.41257,1.87475,1.0593,1.14747,0.0018911,0.0018911,0.0018911
24,3027.13,2.10154,1.20722,1.20976,0.59785,0.51013,0.55655,0.22442,2.16695,2.53529,1.23031,0.00188615,0.00188615,0.00188615
25,3136.59,2.09392,1.22272,1.14626,0.42579,0.11765,0.17034,0.04101,2.40389,3.45013,1.29529,0.0018812,0.0018812,0.0018812
26,3256.33,2.14634,1.16298,1.20334,0.3179,0.11765,0.0985,0.03478,1.95564,4.90768,1.18352,0.00187625,0.00187625,0.00187625
27,3364.83,2.11877,1.1475,1.19384,0.8874,0.87255,0.88083,0.37788,1.94013,1.31315,1.163,0.0018713,0.0018713,0.0018713
28,3465.98,2.08895,1.13727,1.18089,0.90252,0.81693,0.89905,0.39612,1.90973,1.03829,1.15238,0.00186635,0.00186635,0.00186635
29,3565.3,2.05194,1.13229,1.19543,0.8723,0.89216,0.92204,0.36724,1.97095,0.99156,1.17669,0.0018614,0.0018614,0.0018614
30,3685.08,2.09654,1.11812,1.19808,0.82225,0.79412,0.85722,0.31335,2.04313,1.76887,1.2035,0.00185645,0.00185645,0.00185645
31,3790.16,2.00673,1.1081,1.16701,0.73242,0.80508,0.82142,0.33958,1.94891,1.38913,1.14232,0.0018515,0.0018515,0.0018515
32,3897.91,2.00814,1.07721,1.15107,0.78092,0.82353,0.86598,0.33643,1.96632,1.05731,1.14806,0.00184655,0.00184655,0.00184655
33,4007.41,2.05849,1.09504,1.18856,0.67572,0.80392,0.75579,0.29454,1.9792,1.28404,1.16914,0.0018416,0.0018416,0.0018416
34,4108.04,2.07899,1.09093,1.17707,0.34637,0.60784,0.46835,0.16977,2.27409,3.58693,1.25363,0.00183665,0.00183665,0.00183665
35,4211.87,1.98063,1.09208,1.12892,0.59375,0.18627,0.38243,0.13661,2.32604,5.55992,1.29254,0.0018317,0.0018317,0.0018317
36,4337.33,2.00835,1.12312,1.18406,0.44345,0.70588,0.54811,0.21431,1.94883,2.94509,1.16666,0.00182675,0.00182675,0.00182675
37,4440.63,2.07421,1.15824,1.17344,0.90921,0.90196,0.92738,0.39699,1.90552,1.00561,1.12754,0.0018218,0.0018218,0.0018218
38,4540.98,2.00959,1.14386,1.1647,0.90309,0.89216,0.91612,0.39424,1.90184,1.00628,1.13171,0.00181685,0.00181685,0.00181685
