epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2615,4.94412,75.0035,3.13136,0,0,0,0,6.31603,404.347,3.92304,0.000663677,0.000663677,0.000663677
2,179.29,4.85553,7.30593,2.11853,0,0,0,0,nan,nan,nan,0.00132376,0.00132376,0.00132376
3,267.589,4.33118,3.68863,1.83185,0,0,0,0,nan,nan,nan,0.00197724,0.00197724,0.00197724
4,356.08,4.35608,3.43381,1.66976,0,0,0,0,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,444.784,4.24194,2.8874,1.73135,0,0,0,0,5.58467,578.493,2.72201,0.0019604,0.0019604,0.0019604
6,533.33,4.13797,2.8465,1.85717,0.0015,0.14815,0.00258,0.0005,4.78112,2.93294,1.61286,0.0019505,0.0019505,0.0019505
7,621.789,4.14318,2.70489,1.75642,0.00187,0.22751,0.0025,0.00055,4.65319,3.30367,1.52437,0.0019406,0.0019406,0.0019406
8,710.52,4.23882,2.66778,1.59514,0,0,0,0,0.20048,64.1432,0.14977,0.0019307,0.0019307,0.0019307
9,798.439,4.2769,2.62566,1.52125,0.00096,0.01587,0.0005,0.00017,5.22386,4.00785,2.06982,0.0019208,0.0019208,0.0019208
10,886.25,4.33287,2.62185,1.61299,0.00394,0.02646,0.00302,0.00045,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,974.11,4.29104,2.63049,1.7633,0.00342,0.13228,0.00425,0.0009,nan,nan,nan,0.001901,0.001901,0.001901
12,1062.37,4.2591,2.63473,1.70864,0.00314,0.25397,0.00326,0.00069,4.5295,3.08916,1.53975,0.0018911,0.0018911,0.0018911
13,1150.33,4.22145,2.70298,1.61775,0.00378,0.2328,0.00377,0.00096,4.39521,2.84368,1.19052,0.0018812,0.0018812,0.0018812
14,1238.51,4.06816,2.72389,1.5519,0.00777,0.25397,0.00685,0.00148,4.31832,2.53826,1.04924,0.0018713,0.0018713,0.0018713
15,1326.88,4.09081,2.71442,1.59085,0.00221,0.20635,0.00276,0.0006,nan,nan,nan,0.0018614,0.0018614,0.0018614
16,1414.98,4.17562,2.65088,1.46285,0.00666,0.16931,0.00825,0.00168,nan,nan,nan,0.0018515,0.0018515,0.0018515
17,1503.4,4.10003,2.50585,1.48188,0.00711,0.27513,0.01009,0.0024,4.23924,2.59721,0.94516,0.0018416,0.0018416,0.0018416
18,1591.9,4.13163,2.50486,1.48064,0.00673,0.29101,0.01023,0.00245,4.20431,2.52332,0.83698,0.0018317,0.0018317,0.0018317
19,1680.39,4.084,2.53267,1.46539,0.00835,0.20106,0.00594,0.00159,4.30199,2.77893,1.0276,0.0018218,0.0018218,0.0018218
20,1768.46,3.96499,2.52938,1.45592,0.00447,0.24868,0.00529,0.00125,4.29444,2.90723,1.0298,0.0018119,0.0018119,0.0018119
21,1856.36,4.01164,2.54024,1.4223,0.00524,0.15873,0.00443,0.00127,nan,nan,nan,0.001802,0.001802,0.001802
22,1944.23,4.0844,2.53963,1.37104,0.00716,0.15344,0.00495,0.0013,4.38337,3.13318,1.08557,0.0017921,0.0017921,0.0017921
