epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.876,3.27084,3.23583,4.04646,0.00466,0.60106,0.01726,0.00395,3.44494,3.48096,4.28583,0.000653846,0.000653846,0.000653846
2,913.994,2.67274,2.72157,3.24009,0.00482,0.57979,0.01447,0.00345,3.60748,3.5898,4.41172,0.00123336,0.00123336,0.00123336
3,1399.45,2.24437,2.316,2.73627,0.10656,0.46277,0.09787,0.03284,2.26088,2.73638,2.80569,0.00172487,0.00172487,0.00172487
4,1879.49,1.98506,2.04332,2.43668,0.68498,0.64894,0.69909,0.31185,1.74984,1.95388,2.28173,0.001604,0.001604,0.001604
5,2362.93,1.74868,1.77316,2.23266,0.80364,0.80547,0.82512,0.45391,1.48809,1.42875,2.02975,0.001472,0.001472,0.001472
6,2855.68,1.44849,1.69054,2.03252,0.77902,0.76596,0.84322,0.39229,1.69815,1.45961,2.1552,0.00134,0.00134,0.00134
7,3369.44,1.26575,1.35443,1.84846,0.90317,0.80851,0.90301,0.58719,1.20129,1.18536,1.75504,0.001208,0.001208,0.001208
8,3873.36,1.18647,1.22712,1.77434,0.85634,0.88781,0.93106,0.63814,1.09078,1.1105,1.60255,0.001076,0.001076,0.001076
9,4401.51,1.10663,1.1192,1.6814,0.74609,0.81383,0.84028,0.56833,1.13399,1.11339,1.65066,0.000944,0.000944,0.000944
10,4882.96,1.03163,1.03069,1.59633,0.89856,0.81915,0.93831,0.68363,0.97331,0.91694,1.49338,0.000812,0.000812,0.000812
11,5513.83,0.95641,0.92321,1.53259,0.94586,0.92926,0.97856,0.72551,0.89652,0.76959,1.42911,0.00068,0.00068,0.00068
12,5991.63,0.89836,0.85806,1.48039,0.90465,0.90835,0.96116,0.69671,0.88742,0.84241,1.41811,0.000548,0.000548,0.000548
13,6476.49,0.87927,0.82577,1.46304,0.90665,0.94149,0.97436,0.73912,0.8748,0.7453,1.3926,0.000416,0.000416,0.000416
14,6968.26,0.87323,0.80239,1.44343,0.90572,0.97085,0.9825,0.76355,0.79295,0.6723,1.30518,0.000284,0.000284,0.000284
15,7454.52,0.80105,0.74844,1.38137,0.91383,0.95899,0.98339,0.79041,0.75708,0.65375,1.28291,0.000152,0.000152,0.000152
