epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1232.11,5.8497,9.02791,7.86201,0.00364,0.53977,0.00821,0.00183,6.81824,10.8249,8.70895,0.000658824,0.000658824,0.000658824
2,2494.67,4.44247,6.53336,5.58945,0.26939,0.26136,0.18464,0.0662,3.79051,6.8492,5.3327,0.0013053,0.0013053,0.0013053
3,3660.57,3.42552,4.53651,4.30209,0.43447,0.45455,0.41421,0.19174,2.99665,5.22013,3.92257,0.00193147,0.00193147,0.00193147
4,4831.41,3.05654,3.56902,3.79935,0.50044,0.5654,0.55086,0.32347,2.37577,2.95145,3.37377,0.00190862,0.00190862,0.00190862
5,5999.54,2.61088,2.97046,3.4218,0.18426,0.17069,0.09276,0.01738,6.85392,7.23853,8.36669,0.00187815,0.00187815,0.00187815
6,7171.63,2.35016,2.42031,3.15695,0.76783,0.75758,0.8267,0.62453,1.65297,1.74271,2.72936,0.00184769,0.00184769,0.00184769
7,8337.84,2.11041,2.16464,2.95859,0.2641,0.22159,0.10867,0.02045,6.93044,7.19345,9.81559,0.00181723,0.00181723,0.00181723
8,9524.93,2.05963,2.02686,2.87977,0.76851,0.78597,0.86376,0.66142,1.55625,1.52131,2.57754,0.00178677,0.00178677,0.00178677
9,10689.3,2.04682,1.91407,2.86457,0.80219,0.81417,0.87111,0.65643,1.64324,1.51393,2.65617,0.00175631,0.00175631,0.00175631
10,11855.5,1.84937,1.70587,2.7315,0.7084,0.77652,0.82542,0.62778,1.62302,1.43233,2.64475,0.00172585,0.00172585,0.00172585
11,13019.5,1.83698,1.67496,2.70778,0.36032,0.17614,0.10577,0.02304,6.53809,7.82372,9.52976,0.00169538,0.00169538,0.00169538
12,14188.5,1.72376,1.57367,2.63897,0.86615,0.9053,0.94803,0.78135,1.33489,1.00377,2.39552,0.00166492,0.00166492,0.00166492
13,15361.3,1.6937,1.49835,2.59513,0.64828,0.64583,0.69351,0.38717,3.37392,2.94292,4.2802,0.00163446,0.00163446,0.00163446
14,16528.1,1.66482,1.47125,2.56864,0.87203,0.8776,0.94371,0.78949,1.30995,0.96784,2.33276,0.001604,0.001604,0.001604
15,17694.5,1.6424,1.42445,2.55341,0.32554,0.17614,0.14131,0.02913,5.72388,8.56491,9.25935,0.00157354,0.00157354,0.00157354
16,18865.1,1.58377,1.36361,2.50319,0.45821,0.25758,0.31151,0.09783,4.70542,5.74891,6.77882,0.00154308,0.00154308,0.00154308
17,20028.2,1.55725,1.307,2.48193,0.81851,0.80114,0.89272,0.71251,1.49988,1.21501,2.57635,0.00151262,0.00151262,0.00151262
18,21195.3,1.54516,1.24771,2.48335,0.43207,0.15909,0.15255,0.03288,6.52492,7.60902,8.63454,0.00148215,0.00148215,0.00148215
19,22361.7,1.49332,1.23835,2.42616,0.85419,0.91288,0.95566,0.82254,1.18389,0.79521,2.18982,0.00145169,0.00145169,0.00145169
