epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1570.37,1.09452,0.77633,2.12252,0.1665,0.32386,0.1322,0.06507,3.77878,8.73791,5.14689,0.000658824,0.000658824,0.000658824
2,2972.72,1.2159,0.84272,2.18889,0.34699,0.48106,0.35068,0.11247,4.28691,8.20158,6.99375,0.00131237,0.00131237,0.00131237
3,4205.56,1.28338,0.88443,2.218,0.93075,0.91645,0.97249,0.81852,1.35797,0.72901,2.22805,0.00195271,0.00195271,0.00195271
4,5433.46,1.34688,0.96488,2.26493,0.3556,0.34091,0.24877,0.05948,6.00001,5.60736,10.4996,0.0019406,0.0019406,0.0019406
5,6651.87,1.29127,0.92427,2.22662,0.94812,0.93561,0.98036,0.85461,1.10112,0.65539,2.11392,0.0019208,0.0019208,0.0019208
6,7842.39,1.27346,0.93023,2.22074,0.91223,0.90152,0.96654,0.82071,1.20611,0.80389,2.19771,0.001901,0.001901,0.001901
7,9031.38,1.30307,0.93737,2.22793,0.28353,0.19129,0.12447,0.02846,7.06027,7.73612,11.4892,0.0018812,0.0018812,0.0018812
8,10219.5,1.30548,0.9451,2.23627,0.94665,0.93371,0.98027,0.86716,1.04064,0.62796,2.05948,0.0018614,0.0018614,0.0018614
9,11400,1.31931,0.92844,2.24239,0.93256,0.93561,0.97511,0.84697,1.10037,0.65589,2.13523,0.0018416,0.0018416,0.0018416
10,12578,1.243,0.8856,2.2014,0.9444,0.933,0.98193,0.83618,1.157,0.67892,2.16382,0.0018218,0.0018218,0.0018218
11,13763,1.26467,0.85614,2.20303,0.96531,0.96023,0.98649,0.85812,1.09584,0.57264,2.1444,0.001802,0.001802,0.001802
12,14948.8,1.22547,0.87506,2.19983,0.26836,0.14394,0.08042,0.01736,8.22157,7.78263,12.7136,0.0017822,0.0017822,0.0017822
13,16133.8,1.2228,0.84718,2.18231,0.27572,0.13636,0.06356,0.01434,8.46536,8.30128,14.3295,0.0017624,0.0017624,0.0017624
14,17322,1.22053,0.86089,2.18205,0.87839,0.85227,0.94089,0.75264,1.50855,1.31799,2.48518,0.0017426,0.0017426,0.0017426
15,18515.8,1.2364,0.85869,2.19,0.95331,0.96591,0.98823,0.87286,1.0726,0.52654,2.06066,0.0017228,0.0017228,0.0017228
16,19732.8,1.21234,0.8326,2.17491,0.97712,0.97159,0.99055,0.87175,1.08339,0.53268,2.14063,0.001703,0.001703,0.001703
17,20920.2,1.21465,0.84518,2.18998,0.28571,0.03788,0.15989,0.06118,5.77468,12.9256,7.29903,0.0016832,0.0016832,0.0016832
18,22110.5,1.231,0.82097,2.18954,0.96103,0.98083,0.98984,0.8868,1.01979,0.51856,2.08492,0.0016634,0.0016634,0.0016634
19,23295.9,1.17898,0.82365,2.1653,0.97136,0.93371,0.98217,0.8547,1.16141,0.65966,2.13614,0.0016436,0.0016436,0.0016436
20,24485.4,1.18712,0.82092,2.15199,0.88599,0.86838,0.94507,0.79455,1.31735,1.39698,2.3371,0.0016238,0.0016238,0.0016238
21,25674.2,1.17597,0.80861,2.1446,0.26746,0.13068,0.06927,0.01507,8.60155,7.94325,14.6097,0.001604,0.001604,0.001604
22,26863.2,1.16123,0.77503,2.14052,0.92792,0.95083,0.97447,0.83715,1.20844,0.69152,2.17818,0.0015842,0.0015842,0.0015842
23,28050.6,1.18249,0.81815,2.16006,0.24898,0.12311,0.06934,0.01393,9.1482,7.94574,17.1024,0.0015644,0.0015644,0.0015644
24,29235.3,1.16419,0.79539,2.14451,0.26813,0.13258,0.06645,0.01392,8.88005,7.44881,16.3432,0.0015446,0.0015446,0.0015446
25,30420,1.15309,0.78882,2.14366,0.98069,0.96202,0.99201,0.87272,1.00267,0.51357,2.02693,0.0015248,0.0015248,0.0015248
26,31603.9,1.14923,0.79112,2.14558,0.41492,0.79356,0.64843,0.33307,3.71416,4.74325,4.92007,0.001505,0.001505,0.001505
27,32790.8,1.16626,0.79286,2.15922,0.7638,0.61742,0.77816,0.56187,2.14516,2.92095,3.0664,0.0014852,0.0014852,0.0014852
28,33976,1.15799,0.74867,2.13681,0.24188,0.12121,0.07631,0.01619,7.14579,9.06883,12.2043,0.0014654,0.0014654,0.0014654
