epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.469,0.72204,0.53087,1.18852,0.96609,0.97872,0.99112,0.85241,0.59619,0.40955,1.07889,0.000653846,0.000653846,0.000653846
2,889.651,0.76054,0.56897,1.21163,0.18713,0.1117,0.08429,0.01855,3.91539,3.51602,6.71108,0.00130417,0.00130417,0.00130417
3,1339,0.78009,0.58438,1.23244,0.95391,0.99073,0.99242,0.8435,0.65377,0.42526,1.10769,0.001938,0.001938,0.001938
4,1790.91,0.82405,0.6217,1.25713,0.10968,0.3617,0.09638,0.02148,3.61325,4.01032,4.80704,0.00192575,0.00192575,0.00192575
5,2243.96,0.80297,0.61461,1.24638,0.19935,0.28191,0.16941,0.03825,3.95277,3.35404,7.79548,0.001901,0.001901,0.001901
6,2705.7,0.78976,0.58859,1.23976,0.16483,0.15012,0.07663,0.01742,3.33009,4.03745,5.38146,0.00187625,0.00187625,0.00187625
7,3169.12,0.77762,0.58964,1.23011,0.13953,0.2234,0.10298,0.02811,2.89794,5.5854,4.49672,0.0018515,0.0018515,0.0018515
8,3621.61,0.79835,0.59092,1.23297,0.98744,0.99468,0.99479,0.84924,0.64874,0.38579,1.11711,0.00182675,0.00182675,0.00182675
9,4072.54,0.7709,0.58943,1.21875,0.28243,0.25,0.16336,0.03519,3.35235,3.60791,5.21849,0.001802,0.001802,0.001802
10,4523.9,0.79904,0.59728,1.24827,0.21672,0.10106,0.07624,0.0186,3.64162,4.1046,5.86253,0.00177725,0.00177725,0.00177725
11,4984.01,0.75895,0.56623,1.21845,0.96725,0.97872,0.99181,0.84181,0.61939,0.41626,1.07681,0.0017525,0.0017525,0.0017525
12,5448.96,0.77125,0.56293,1.21841,0.44444,0.10638,0.26175,0.08458,2.84468,5.66583,4.33842,0.00172775,0.00172775,0.00172775
13,5907.77,0.7552,0.54664,1.21131,0.9947,0.99868,0.995,0.86341,0.56219,0.3465,1.04433,0.001703,0.001703,0.001703
14,6370.01,0.77052,0.55667,1.21968,0.47721,0.47872,0.42118,0.14476,2.11128,2.44902,3.05385,0.00167825,0.00167825,0.00167825
15,6833.36,0.7444,0.54179,1.19889,0.99406,1,0.99468,0.85332,0.61795,0.36993,1.06501,0.0016535,0.0016535,0.0016535
16,7296.24,0.74642,0.53951,1.20026,0.9983,1,0.995,0.88064,0.55455,0.33948,1.02345,0.00162875,0.00162875,0.00162875
17,7748.09,0.74669,0.54261,1.19996,0.98692,0.9734,0.98838,0.85403,0.5744,0.38265,1.06355,0.001604,0.001604,0.001604
18,8209.95,0.74338,0.53959,1.18534,0.99449,0.96002,0.98663,0.85408,0.60568,0.39793,1.06212,0.00157925,0.00157925,0.00157925
19,8662.71,0.74302,0.54033,1.18883,0.23653,0.42021,0.24011,0.08224,2.86242,4.07811,3.50303,0.0015545,0.0015545,0.0015545
20,9115.26,0.73423,0.53168,1.19127,0.9947,0.99763,0.99489,0.87155,0.57719,0.33108,1.03733,0.00152975,0.00152975,0.00152975
21,9568.45,0.73493,0.53031,1.18272,0.98428,0.99919,0.99447,0.86837,0.55554,0.33835,1.02242,0.001505,0.001505,0.001505
22,10019.5,0.74026,0.52725,1.19184,0.98266,0.99468,0.99442,0.854,0.62443,0.36916,1.06634,0.00148025,0.00148025,0.00148025
23,10474.5,0.72556,0.53045,1.1869,0.47112,0.45014,0.37462,0.13404,2.438,2.40389,3.29124,0.0014555,0.0014555,0.0014555
24,10927.3,0.7323,0.52366,1.1848,0.9842,0.99387,0.99436,0.86561,0.58175,0.35328,1.04927,0.00143075,0.00143075,0.00143075
25,11376.5,0.70426,0.50523,1.17891,0.98765,0.98404,0.99393,0.84057,0.63764,0.38961,1.08892,0.001406,0.001406,0.001406
26,11830.7,0.69992,0.50254,1.17003,0.14763,0.19149,0.09201,0.02043,3.74339,3.55937,6.30698,0.00138125,0.00138125,0.00138125
27,12287.1,0.71723,0.5001,1.17667,0.99857,1,0.995,0.89043,0.52885,0.29687,0.99025,0.0013565,0.0013565,0.0013565
28,12737.6,0.71614,0.49914,1.16625,0.14815,0.34043,0.15132,0.03186,3.3511,4.70215,5.00601,0.00133175,0.00133175,0.00133175
29,13189.6,0.70788,0.50436,1.1702,0.99392,1,0.995,0.87683,0.55544,0.31378,1.01094,0.001307,0.001307,0.001307
30,13640.9,0.70175,0.50011,1.17065,0.99997,0.99468,0.995,0.89686,0.5217,0.30614,0.9972,0.00128225,0.00128225,0.00128225
31,14095,0.6996,0.4858,1.16529,0.98946,0.99844,0.9941,0.89075,0.52938,0.32549,0.99651,0.0012575,0.0012575,0.0012575
32,14545.8,0.7195,0.50307,1.17476,0.44408,0.5266,0.42034,0.17088,2.27138,2.40991,3.19764,0.00123275,0.00123275,0.00123275
