epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.208,0.96488,0.60793,2.02521,0.88658,0.79943,0.87207,0.68791,1.63004,1.70186,2.61125,0.000658824,0.000658824,0.000658824
2,211.676,1.07215,0.65622,2.08158,0.25206,0.12879,0.07996,0.01535,8.32002,7.73146,13.1852,0.00131893,0.00131893,0.00131893
3,303.752,1.14068,0.70732,2.11563,0.97551,0.94129,0.98815,0.86831,1.13595,0.55897,2.12243,0.00197243,0.00197243,0.00197243
4,394.774,1.16356,0.73584,2.13191,0.97563,0.95076,0.98667,0.88935,0.97108,0.59222,2.01939,0.0019703,0.0019703,0.0019703
5,485.237,1.12765,0.74122,2.11485,0.97563,0.95076,0.98667,0.88935,6.31208,13.2308,7.76857,0.0019604,0.0019604,0.0019604
6,575.741,1.13643,0.75228,2.11614,0.97369,0.98117,0.99112,0.89185,0.97033,0.4899,2.05466,0.0019505,0.0019505,0.0019505
7,677.684,1.09998,0.72259,2.10124,0.97209,0.92337,0.98326,0.86203,1.05901,0.63397,2.0629,0.0019406,0.0019406,0.0019406
8,780.747,1.12752,0.72167,2.11607,0.90803,0.7854,0.91467,0.722,1.71323,1.85029,2.71389,0.0019307,0.0019307,0.0019307
9,888.259,1.11811,0.7383,2.1126,0.27041,0.10038,0.15696,0.05975,4.72345,11.1205,6.09028,0.0019208,0.0019208,0.0019208
10,994.3,1.14351,0.75867,2.11701,0.96231,0.9697,0.98618,0.86353,1.16953,0.59903,2.17727,0.0019109,0.0019109,0.0019109
11,1102.93,1.11879,0.73185,2.10535,0.35714,0.03788,0.19328,0.08989,4.74001,12.9304,7.76635,0.001901,0.001901,0.001901
12,1207.24,1.10852,0.72586,2.10144,0.97154,0.96982,0.98646,0.86251,1.10719,0.56954,2.12299,0.0018911,0.0018911,0.0018911
13,1314.97,1.157,0.76989,2.14324,0.94124,0.9697,0.98615,0.84234,1.25602,0.65057,2.20231,0.0018812,0.0018812,0.0018812
