epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.886,6.299,15.7034,8.5268,0,0,0,0,6.26993,31.008,8.32389,0.0003333,0.0003333,0.0003333
2,852.06,5.92414,13.5043,8.08579,1e-05,0.02222,1e-05,0,6.5439,31.1918,8.47726,0.000672119,0.000672119,0.000672119
3,1278.83,5.81044,12.7053,7.59898,0.0002,0.11111,0.00015,2e-05,7.81035,31.7131,9.71803,0.00100526,0.00100526,0.00100526
4,1708.62,5.56195,11.7483,7.13253,0.00612,0.14242,0.00577,0.0018,6.53374,24.3903,8.42565,0.0010835,0.0010835,0.0010835
5,2133.64,5.36907,10.9472,6.74067,0.00142,0.27475,0.00304,0.0008,5.40975,18.1693,6.99531,0.00107434,0.00107434,0.00107434
6,2564.04,5.26033,9.95289,6.42517,0.83344,0.01515,0.01841,0.00372,5.42939,19.6976,7.27814,0.00106517,0.00106517,0.00106517
7,2989.1,4.86916,9.09713,5.99674,0.82109,0.06364,0.01318,0.00268,6.38229,22.3609,7.10733,0.00105601,0.00105601,0.00105601
8,3407.95,4.71555,8.35401,5.73367,0.81614,0.02424,0.00636,0.00186,5.3471,41.0766,7.13298,0.00104684,0.00104684,0.00104684
9,3826.23,4.36793,7.69883,5.28766,0.83496,0.08485,0.04439,0.01188,5.43597,12.173,5.70902,0.00103767,0.00103767,0.00103767
10,4254.66,4.23767,7.29613,5.16447,0.83908,0.07273,0.0358,0.01145,4.73584,11.0681,5.44037,0.00102851,0.00102851,0.00102851
11,4673.1,3.89416,6.60187,4.86214,0.85063,0.09091,0.05375,0.01498,4.52224,10.5442,4.98872,0.00101934,0.00101934,0.00101934
12,5093.39,3.72889,6.27539,4.64805,0.87109,0.06061,0.08419,0.0364,3.78978,9.09485,4.40778,0.00101018,0.00101018,0.00101018
13,5511,3.62576,6.01402,4.50435,0.87078,0.08485,0.11101,0.05016,3.63108,9.33211,4.34591,0.00100101,0.00100101,0.00100101
14,5928.23,3.45577,5.49543,4.32514,0.87127,0.10303,0.12892,0.05837,3.48557,7.34551,4.06323,0.000991845,0.000991845,0.000991845
15,6348.03,3.39939,5.36316,4.2291,0.9221,0.10924,0.17044,0.08185,3.28273,6.16907,3.93545,0.000982679,0.000982679,0.000982679
16,6764.86,3.18883,5.08758,4.00621,0.92084,0.11212,0.21442,0.11601,3.21722,5.79168,3.76024,0.000973514,0.000973514,0.000973514
17,7183.57,3.18216,5.05562,3.97573,0.89504,0.1303,0.16869,0.08559,3.3757,6.45297,4.04089,0.000964348,0.000964348,0.000964348
18,7604.3,3.06753,4.64555,3.85444,0.90205,0.1042,0.19251,0.12373,3.16191,5.51915,3.70318,0.000955182,0.000955182,0.000955182
19,8025.84,3.1875,4.88423,3.98862,0.92384,0.15276,0.21652,0.1322,2.93018,4.87721,3.43045,0.000946016,0.000946016,0.000946016
20,8441.96,2.90893,4.3809,3.70926,0.90975,0.14545,0.1744,0.10086,2.84038,5.04815,3.48531,0.000936851,0.000936851,0.000936851
21,8861.98,2.86948,4.52709,3.68171,0.90535,0.12727,0.25367,0.15776,2.89251,4.61965,3.50105,0.000927685,0.000927685,0.000927685
22,9280.01,2.8368,4.28394,3.59375,0.87508,0.14848,0.19486,0.11275,2.6297,4.5535,3.33913,0.000918519,0.000918519,0.000918519
23,9698.78,2.74614,4.11488,3.51408,0.91057,0.14613,0.25854,0.1448,2.72888,4.7721,3.38944,0.000909353,0.000909353,0.000909353
24,10112.7,2.755,4.1398,3.48702,0.95211,0.12514,0.29987,0.15432,2.37483,4.12903,3.10232,0.000900188,0.000900188,0.000900188
25,10531,2.70418,4.0708,3.50902,0.93188,0.12121,0.2167,0.13947,2.55623,4.17402,3.20427,0.000891022,0.000891022,0.000891022
26,10947.9,2.64257,3.79084,3.4384,0.92229,0.12727,0.17546,0.11663,2.58282,4.38732,3.24646,0.000881856,0.000881856,0.000881856
27,11368.3,2.69311,3.70963,3.39982,0.94328,0.14848,0.3218,0.18813,2.40332,3.8207,3.06584,0.000872691,0.000872691,0.000872691
28,11784.4,2.71814,3.85656,3.44344,0.97077,0.11515,0.26245,0.16267,2.36824,3.8059,3.04267,0.000863525,0.000863525,0.000863525
29,12203,2.64781,3.67155,3.35469,0.94453,0.12633,0.23068,0.14121,2.385,3.72247,3.07055,0.000854359,0.000854359,0.000854359
30,12621.1,2.59632,3.77468,3.3565,0.9399,0.15455,0.2948,0.19073,2.20202,3.46532,2.83752,0.000845193,0.000845193,0.000845193
31,13036,2.60024,3.64194,3.32176,0.95949,0.16364,0.26796,0.1781,2.39078,3.42068,2.91302,0.000836027,0.000836027,0.000836027
32,13451.4,2.48053,3.46754,3.2716,0.97901,0.15507,0.30291,0.22522,2.20844,3.03623,2.83836,0.000826862,0.000826862,0.000826862
33,13868.6,2.47533,3.47146,3.2158,0.97841,0.14242,0.31935,0.22853,2.04739,3.10949,2.85332,0.000817696,0.000817696,0.000817696
34,14289.5,2.42855,3.33599,3.17888,0.62976,0.2569,0.33479,0.22153,2.14034,3.03656,2.80993,0.00080853,0.00080853,0.00080853
35,14705.3,2.48015,3.49075,3.19241,0.25112,0.32362,0.32444,0.20444,2.2852,3.19336,2.83915,0.000799365,0.000799365,0.000799365
36,15121.2,2.47059,3.27121,3.22408,0.60448,0.28001,0.36945,0.25403,2.35647,3.26667,3.01347,0.000790199,0.000790199,0.000790199
37,15540.6,2.44355,3.29588,3.18862,0.6137,0.26768,0.29623,0.20014,2.42194,3.27034,3.12698,0.000781033,0.000781033,0.000781033
38,15956.9,2.37906,3.12889,3.12991,0.47981,0.30505,0.32634,0.22756,2.11456,3.07622,2.8089,0.000771867,0.000771867,0.000771867
39,16371.7,2.30348,3.12965,3.07638,0.34198,0.26162,0.30042,0.20603,2.05563,3.16242,2.83701,0.000762702,0.000762702,0.000762702
40,16789.6,2.34366,3.02485,3.08333,0.3086,0.31929,0.34855,0.20687,2.19946,2.75465,2.76028,0.000753536,0.000753536,0.000753536
41,17202.9,2.37744,3.22516,3.09944,0.2764,0.31515,0.31737,0.22068,2.20069,2.83746,2.77351,0.00074437,0.00074437,0.00074437
42,17619.3,2.3275,2.8849,3.10905,0.20665,0.19728,0.26429,0.13451,2.83754,3.61076,3.44411,0.000735204,0.000735204,0.000735204
43,18038.8,2.28789,2.8768,3.07199,0.4555,0.27677,0.36326,0.25516,2.27587,2.61627,2.89241,0.000726038,0.000726038,0.000726038
44,18456.8,2.24677,2.94537,2.97776,0.45384,0.30505,0.34832,0.22695,2.06829,2.62825,2.72932,0.000716873,0.000716873,0.000716873
45,18872.7,2.24899,2.88778,2.96586,0.20093,0.37475,0.35548,0.24209,2.1473,2.61956,2.76414,0.000707707,0.000707707,0.000707707
46,19288.8,2.24952,2.88607,2.98634,0.27818,0.31818,0.33547,0.23144,2.17726,2.67153,2.81665,0.000698541,0.000698541,0.000698541
47,19703.1,2.24074,2.82068,2.9882,0.32071,0.43838,0.35714,0.24676,2.02385,2.41687,2.70046,0.000689376,0.000689376,0.000689376
48,20118.2,2.20746,2.78302,2.96259,0.23493,0.40404,0.3438,0.2523,2.06587,2.58034,2.68783,0.00068021,0.00068021,0.00068021
49,20531.9,2.14861,2.69679,2.92243,0.23361,0.34816,0.34988,0.2601,1.98458,2.38633,2.64613,0.000671044,0.000671044,0.000671044
50,20948.9,2.17594,2.7203,2.95679,0.26269,0.38681,0.37972,0.25522,2.15603,2.53475,2.8322,0.000661878,0.000661878,0.000661878
51,21363.1,2.18001,2.65851,2.91922,0.33599,0.45152,0.37153,0.26255,2.07815,2.50384,2.65766,0.000652712,0.000652712,0.000652712
52,21778.6,2.22395,2.8039,2.98032,0.21979,0.35354,0.31962,0.23158,1.9857,2.75078,2.64553,0.000643547,0.000643547,0.000643547
53,22194.5,2.13546,2.63548,2.88671,0.25017,0.42743,0.3757,0.26701,1.89201,2.18918,2.57595,0.000634381,0.000634381,0.000634381
54,22611.9,2.17893,2.69865,2.94461,0.33689,0.46465,0.41802,0.30347,1.97796,2.54947,2.58224,0.000625215,0.000625215,0.000625215
55,23026.1,2.1754,2.65227,2.92432,0.30693,0.55399,0.38227,0.2873,1.88656,2.31385,2.52809,0.000616049,0.000616049,0.000616049
56,23439.3,2.1559,2.59732,2.91888,0.33534,0.36566,0.36876,0.26762,1.94845,2.34036,2.60691,0.000606884,0.000606884,0.000606884
57,23858.5,2.06249,2.5122,2.85175,0.29267,0.41111,0.32633,0.22477,2.15794,2.80571,2.80672,0.000597718,0.000597718,0.000597718
58,24274.4,2.078,2.50885,2.8484,0.31439,0.51952,0.38785,0.27163,2.02437,2.39819,2.6618,0.000588552,0.000588552,0.000588552
59,24693.4,2.12184,2.42283,2.89043,0.28467,0.34343,0.36951,0.27493,1.9778,2.1847,2.54753,0.000579386,0.000579386,0.000579386
60,25113.1,2.07759,2.49654,2.86342,0.35468,0.42622,0.36837,0.27551,1.98531,2.52329,2.61784,0.000570221,0.000570221,0.000570221
61,25532.3,2.07244,2.51715,2.8641,0.35829,0.50703,0.41765,0.31539,1.97223,2.20626,2.60282,0.000561055,0.000561055,0.000561055
62,25949.5,2.07577,2.42573,2.81525,0.3453,0.49504,0.4062,0.29345,1.90459,2.24774,2.65134,0.000551889,0.000551889,0.000551889
63,26365.1,2.05074,2.32395,2.81409,0.32209,0.45152,0.39941,0.28607,2.00013,2.17414,2.61001,0.000542723,0.000542723,0.000542723
64,26782.9,1.9935,2.41382,2.74889,0.33144,0.40343,0.383,0.27704,2.00455,2.2242,2.61677,0.000533558,0.000533558,0.000533558
65,27198.9,2.07221,2.39486,2.80499,0.29194,0.4503,0.3726,0.27685,2.12468,2.25785,2.82814,0.000524392,0.000524392,0.000524392
66,27620.2,1.99112,2.38914,2.77331,0.31166,0.43719,0.39718,0.2869,1.95624,2.5705,2.66915,0.000515226,0.000515226,0.000515226
67,28035.6,1.92005,2.29429,2.71948,0.39283,0.52727,0.42398,0.30474,1.99997,2.24775,2.64391,0.00050606,0.00050606,0.00050606
68,28452.5,2.03018,2.32335,2.78995,0.35184,0.54646,0.47422,0.36182,1.9203,2.13154,2.59167,0.000496895,0.000496895,0.000496895
69,28867.7,1.96489,2.27669,2.73736,0.38334,0.4101,0.42768,0.31962,1.84968,2.15548,2.54594,0.000487729,0.000487729,0.000487729
70,29281.6,1.98135,2.33302,2.73933,0.37599,0.47374,0.43275,0.3109,1.95572,1.99337,2.56713,0.000478563,0.000478563,0.000478563
71,29698,1.98498,2.33367,2.77946,0.32396,0.46207,0.42478,0.31788,1.99013,2.06806,2.57463,0.000469397,0.000469397,0.000469397
72,30115.8,1.97581,2.30722,2.75115,0.38682,0.50808,0.43786,0.31531,2.11728,2.31462,2.71776,0.000460232,0.000460232,0.000460232
73,30531.5,1.96712,2.20075,2.73401,0.35733,0.40754,0.37275,0.22774,2.20834,2.79662,2.96325,0.000451066,0.000451066,0.000451066
74,30946.8,1.94046,2.13206,2.6987,0.43738,0.5756,0.46793,0.33309,2.13274,2.07924,2.66335,0.0004419,0.0004419,0.0004419
75,31364.5,1.94144,2.20256,2.72643,0.49423,0.49595,0.47546,0.35172,1.94512,2.1474,2.67255,0.000432734,0.000432734,0.000432734
76,31779.7,1.89682,2.2706,2.69238,0.31696,0.45553,0.40486,0.29434,1.84298,2.40105,2.558,0.000423569,0.000423569,0.000423569
77,32200,1.95417,2.20583,2.73731,0.42184,0.50705,0.47301,0.34013,1.82185,1.97613,2.5278,0.000414403,0.000414403,0.000414403
78,32611.8,1.86851,2.14549,2.67395,0.42106,0.51483,0.46482,0.35186,1.90087,2.0048,2.61844,0.000405237,0.000405237,0.000405237
79,33028.5,1.88581,2.16263,2.67883,0.46685,0.4295,0.47878,0.3561,1.89181,2.05957,2.67228,0.000396071,0.000396071,0.000396071
80,33445.3,1.84525,2.24158,2.64537,0.30781,0.49596,0.42565,0.32484,2.04375,2.29435,2.79513,0.000386906,0.000386906,0.000386906
81,33859.8,1.86177,2.03944,2.648,0.4072,0.47911,0.50624,0.36736,2.06185,1.89567,2.69167,0.00037774,0.00037774,0.00037774
82,34274.8,1.86609,2.144,2.69121,0.4964,0.54646,0.53591,0.40367,1.94354,1.91775,2.59746,0.000368574,0.000368574,0.000368574
83,34693.5,1.75197,1.94148,2.58575,0.40629,0.57475,0.49388,0.36969,1.974,1.92795,2.71745,0.000359409,0.000359409,0.000359409
84,35113.4,1.82931,2.05928,2.62849,0.39757,0.58643,0.49483,0.37541,1.91233,1.95923,2.67891,0.000350243,0.000350243,0.000350243
85,35535.1,1.75943,1.90225,2.60404,0.42081,0.63958,0.53058,0.40238,2.00079,1.92414,2.65901,0.000341077,0.000341077,0.000341077
86,35968.6,1.7575,1.92808,2.57842,0.47042,0.52667,0.51605,0.3973,2.00135,1.89905,2.64242,0.000331911,0.000331911,0.000331911
