epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.895,1.70506,1.81153,2.56322,0.41512,0.61171,0.47753,0.35075,2.16473,1.89739,2.91542,0.0003333,0.0003333,0.0003333
2,890.048,1.81146,1.93166,2.58652,0.52528,0.43535,0.46127,0.33285,1.94887,1.93863,2.47037,0.000672119,0.000672119,0.000672119
3,1378.68,1.93485,2.08251,2.65589,0.4931,0.63142,0.51948,0.38067,1.98069,2.27313,2.69237,0.00100526,0.00100526,0.00100526
4,1869.27,1.97494,2.08135,2.70693,0.5198,0.46162,0.46644,0.33596,2.02021,2.31334,2.62812,0.0010835,0.0010835,0.0010835
5,2384.43,1.98871,2.12639,2.76395,0.49761,0.51238,0.48769,0.36062,2.25307,2.3864,2.76733,0.00107434,0.00107434,0.00107434
6,2891.8,2.05867,2.26618,2.74029,0.45683,0.50202,0.48052,0.34262,2.21317,2.1668,2.69066,0.00106517,0.00106517,0.00106517
7,3402.16,2.03664,2.24321,2.72756,0.4729,0.50755,0.5023,0.35975,2.10197,2.05247,2.78135,0.00105601,0.00105601,0.00105601
8,3921.1,2.03101,2.17468,2.73935,0.42299,0.56773,0.50681,0.39818,1.96107,1.89844,2.51066,0.00104684,0.00104684,0.00104684
9,4425.27,1.97873,2.0345,2.70195,0.49761,0.50651,0.49051,0.35008,1.97371,1.98616,2.48978,0.00103767,0.00103767,0.00103767
10,4888.99,1.98617,2.12035,2.66618,0.52862,0.58607,0.55202,0.39445,2.12486,1.88901,2.74459,0.00102851,0.00102851,0.00102851
11,5338.41,1.93528,2.01387,2.63621,0.46566,0.57172,0.52592,0.40531,1.89524,1.85427,2.58553,0.00101934,0.00101934,0.00101934
12,5786.71,1.97299,2.05575,2.6576,0.44862,0.51926,0.48342,0.32825,1.98452,2.11765,2.55957,0.00101018,0.00101018,0.00101018
13,6272.06,1.9882,2.03795,2.68727,0.47577,0.60169,0.56788,0.40233,2.02412,1.8226,2.61116,0.00100101,0.00100101,0.00100101
14,6813.11,1.96362,2.00953,2.67217,0.47805,0.5577,0.4978,0.35283,2.11855,2.15755,2.71185,0.000991845,0.000991845,0.000991845
15,7367.59,1.99182,2.04519,2.68333,0.25962,0.21717,0.23852,0.12973,3.51292,4.67811,4.24561,0.000982679,0.000982679,0.000982679
16,7942.06,1.86184,2.03057,2.60417,0.42836,0.69008,0.52906,0.39294,1.89498,1.99608,2.45741,0.000973514,0.000973514,0.000973514
17,8512.95,1.9621,2.11011,2.6641,0.53229,0.53275,0.50256,0.37915,2.04701,2.21964,2.57092,0.000964348,0.000964348,0.000964348
18,9084.04,1.94288,1.968,2.64477,0.1407,0.15253,0.15538,0.05605,4.62929,5.75392,5.3629,0.000955182,0.000955182,0.000955182
19,9668.57,1.97724,2.09775,2.6826,0.42895,0.50964,0.51078,0.36945,1.98852,2.14139,2.71543,0.000946016,0.000946016,0.000946016
20,10245.8,1.94091,1.98357,2.67429,0.47612,0.52708,0.53414,0.38344,2.0308,1.70728,2.66633,0.000936851,0.000936851,0.000936851
21,10764.3,1.93374,2.07416,2.66257,0.57689,0.61937,0.58232,0.42854,2.01468,1.61922,2.78688,0.000927685,0.000927685,0.000927685
22,11283.8,1.89884,2.04783,2.59752,0.55103,0.53548,0.51927,0.35651,2.19948,1.82351,2.77724,0.000918519,0.000918519,0.000918519
23,11789.1,1.8961,1.94889,2.60564,0.47831,0.62994,0.56109,0.41578,1.85895,1.75577,2.49904,0.000909353,0.000909353,0.000909353
24,12294.9,1.8527,1.92114,2.55997,0.52112,0.5122,0.53859,0.40054,1.93014,1.68324,2.52113,0.000900188,0.000900188,0.000900188
25,12797.4,1.89104,1.99867,2.62011,0.41605,0.58182,0.49304,0.37799,2.00277,1.97746,2.6147,0.000891022,0.000891022,0.000891022
26,13273.7,1.84182,1.80838,2.58557,0.50145,0.59091,0.55576,0.41923,1.93363,2.14511,2.65205,0.000881856,0.000881856,0.000881856
27,13705.9,1.8928,1.7894,2.5789,0.46775,0.57475,0.51865,0.37475,1.97368,1.68026,2.52392,0.000872691,0.000872691,0.000872691
28,14143.5,1.8948,1.91521,2.58596,0.49442,0.66247,0.59753,0.42166,2.0279,1.96775,2.78209,0.000863525,0.000863525,0.000863525
29,14590.7,1.86144,1.82094,2.56761,0.43129,0.6057,0.51765,0.3851,1.92309,1.82208,2.44711,0.000854359,0.000854359,0.000854359
30,15025.6,1.84851,1.93388,2.57981,0.48894,0.64536,0.53604,0.36556,2.07753,1.82813,2.70088,0.000845193,0.000845193,0.000845193
31,15466.2,1.84906,1.87334,2.57857,0.47381,0.66007,0.56908,0.4201,1.84099,1.42452,2.47131,0.000836027,0.000836027,0.000836027
32,15897.4,1.81507,1.78449,2.57114,0.53827,0.53969,0.52936,0.3847,1.9897,1.66706,2.6478,0.000826862,0.000826862,0.000826862
