epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0898,1.24134,3.05913,1.59858,0.00343,1,0.4848,0.35296,0.63387,3.27781,1.28181,0.00023338,0.00023338,0.00023338
2,28.5509,0.73085,2.42155,1.23948,0.00334,1,0.42,0.2438,0.79759,3.24187,1.34796,0.000482234,0.000482234,0.000482234
3,41.015,0.79814,1.88344,1.27048,0.6025,0.32295,0.58003,0.33251,0.96023,3.1495,1.47042,0.000729849,0.000729849,0.000729849
4,53.2087,0.77589,1.52074,1.23606,0.83068,0.6647,0.89315,0.72457,0.65127,2.42276,1.35424,0.000976227,0.000976227,0.000976227
5,66.8422,0.74324,1.34393,1.19585,0.34937,0.40207,0.2814,0.11605,1.57847,3.29605,2.89213,0.00122137,0.00122137,0.00122137
6,82.6485,0.81606,1.30239,1.26218,0.28509,0.52083,0.26769,0.10525,1.78962,3.84117,3.39053,0.00146527,0.00146527,0.00146527
7,99.4929,0.79296,1.24289,1.23206,0.6248,0.70606,0.62331,0.2159,1.24032,2.82884,1.91718,0.00164225,0.00164225,0.00164225
8,116.293,0.7562,1.13452,1.21504,0.63688,0.875,0.84986,0.61873,0.78086,1.89646,1.6385,0.00163812,0.00163812,0.00163812
9,132.351,0.77492,1.08133,1.21189,0.82293,0.86053,0.90587,0.75021,0.58102,1.49362,1.20258,0.00163399,0.00163399,0.00163399
10,149.923,0.79694,1.01591,1.21036,0.74188,0.73178,0.77065,0.50001,0.83384,1.89933,1.4856,0.00162987,0.00162987,0.00162987
11,173.643,0.78875,0.96955,1.19541,0.86526,0.97247,0.9781,0.82677,0.60837,1.15176,1.25402,0.00162574,0.00162574,0.00162574
12,194.591,0.75048,0.95076,1.16341,0.74821,0.79625,0.80263,0.64499,0.71899,1.03246,1.33742,0.00162162,0.00162162,0.00162162
13,219.085,0.68949,0.94832,1.16236,0.68259,0.85417,0.82681,0.65025,0.77524,1.801,1.41264,0.00161749,0.00161749,0.00161749
14,240.221,0.72201,0.90209,1.17525,0.90085,0.7607,0.89937,0.58529,1.24823,1.91282,1.72049,0.00161336,0.00161336,0.00161336
15,258.056,0.67486,0.84228,1.13294,0.75499,0.77499,0.90239,0.66981,0.83667,1.72182,1.44291,0.00160924,0.00160924,0.00160924
16,274.001,0.66375,0.86676,1.13302,0.87033,0.89651,0.96564,0.83504,0.67868,0.97203,1.27579,0.00160511,0.00160511,0.00160511
17,290.729,0.66906,0.8218,1.12706,0.97245,0.9735,0.98888,0.80168,0.81237,0.79892,1.44372,0.00160099,0.00160099,0.00160099
18,308.055,0.67037,0.79567,1.15393,0.95207,0.93278,0.95835,0.7933,0.64929,0.82031,1.23817,0.00159686,0.00159686,0.00159686
19,324.303,0.65282,0.74056,1.12752,0.77494,0.47917,0.54195,0.28176,1.62291,1.9274,2.26223,0.00159274,0.00159274,0.00159274
20,338.666,0.65719,0.72976,1.10659,0.91455,0.76554,0.86191,0.60443,1.04546,1.16149,1.52366,0.00158861,0.00158861,0.00158861
21,354.739,0.68673,0.73383,1.15726,0.81694,0.75,0.92265,0.47462,1.72518,1.62168,2.79017,0.00158448,0.00158448,0.00158448
22,381.607,0.68878,0.73146,1.1425,0.39828,0.52083,0.40966,0.08499,3.62521,2.34684,6.74741,0.00158036,0.00158036,0.00158036
23,405.058,0.66065,0.6732,1.1229,0.85532,0.77083,0.7796,0.51809,1.03711,1.09183,1.57417,0.00157623,0.00157623,0.00157623
24,433.048,0.64265,0.68954,1.13322,0.36679,0.375,0.28573,0.06866,2.98551,2.39422,5.96573,0.00157211,0.00157211,0.00157211
25,460.857,0.63442,0.64601,1.11007,0.60208,0.21114,0.33194,0.08441,2.81419,2.75633,4.76391,0.00156798,0.00156798,0.00156798
26,488.85,0.67472,0.69075,1.15561,0.8455,0.67998,0.72664,0.57253,0.72153,0.77081,1.25273,0.00156385,0.00156385,0.00156385
27,514.692,0.62996,0.67198,1.12442,0.97875,0.99284,0.995,0.8981,0.47485,0.52437,1.05245,0.00155973,0.00155973,0.00155973
28,539.245,0.61425,0.66348,1.10482,0.97037,0.95833,0.99266,0.90396,0.50671,0.46744,1.07659,0.0015556,0.0015556,0.0015556
29,561.156,0.65676,0.64662,1.1409,0.9792,1,0.995,0.86603,0.56319,0.47299,1.11775,0.00155148,0.00155148,0.00155148
30,579.845,0.6716,0.70669,1.16135,0.97252,1,0.9942,0.8789,0.54132,0.4518,1.09926,0.00154735,0.00154735,0.00154735
31,602.856,0.63491,0.61134,1.1015,0.91111,0.82376,0.85537,0.60062,1.07648,0.82749,1.54842,0.00154323,0.00154323,0.00154323
32,629.442,0.63137,0.62035,1.12466,0.79534,0.68802,0.78408,0.67614,0.55874,1.17087,1.09592,0.0015391,0.0015391,0.0015391
33,659.128,0.60369,0.63277,1.09326,0.88595,0.80527,0.84318,0.76021,0.45653,0.58312,1.03867,0.00153497,0.00153497,0.00153497
34,682.635,0.62338,0.59126,1.09272,0.95401,0.89419,0.89767,0.79487,0.54321,0.54539,1.08721,0.00153085,0.00153085,0.00153085
35,708.517,0.60654,0.59112,1.09656,0.97692,0.83444,0.87707,0.79949,0.45014,0.48233,1.0079,0.00152672,0.00152672,0.00152672
36,732.511,0.61159,0.55147,1.09518,0.90766,0.77901,0.82221,0.63958,0.75501,0.76235,1.41695,0.0015226,0.0015226,0.0015226
37,750.968,0.59223,0.55997,1.09178,0.83828,0.94054,0.97864,0.85165,0.50813,0.67124,1.07315,0.00151847,0.00151847,0.00151847
38,770.248,0.60175,0.60576,1.08495,0.7699,0.3125,0.36005,0.12152,2.85949,2.52294,4.77293,0.00151434,0.00151434,0.00151434
39,787.451,0.59143,0.62904,1.09781,0.48083,0.5625,0.4888,0.07999,3.63526,1.93128,8.1493,0.00151022,0.00151022,0.00151022
40,808.011,0.62412,0.59898,1.08352,0.91794,0.95643,0.98318,0.86516,0.57241,0.57751,1.12827,0.00150609,0.00150609,0.00150609
41,825.445,0.61855,0.59607,1.11391,0.82782,0.8632,0.93757,0.84539,0.48794,0.82005,1.04899,0.00150197,0.00150197,0.00150197
42,842.947,0.60258,0.57278,1.09166,0.94969,0.90219,0.9926,0.85073,0.57948,0.54231,1.13579,0.00149784,0.00149784,0.00149784
43,860.162,0.60894,0.55592,1.10806,0.97347,0.96117,0.9942,0.86506,0.57761,0.45963,1.15458,0.00149372,0.00149372,0.00149372
44,878.465,0.60893,0.57231,1.10403,0.95964,0.98162,0.995,0.83998,0.69104,0.46829,1.22455,0.00148959,0.00148959,0.00148959
45,895.894,0.59389,0.51724,1.07854,1,0.96087,0.99,0.85249,0.63298,0.41571,1.22257,0.00148546,0.00148546,0.00148546
46,912.315,0.63207,0.54676,1.12004,0.97898,0.95143,0.96249,0.80902,0.71875,0.55895,1.28747,0.00148134,0.00148134,0.00148134
47,929.308,0.61484,0.50931,1.09151,0.87915,0.90286,0.94891,0.57381,1.43629,0.96045,2.11608,0.00147721,0.00147721,0.00147721
48,945.589,0.61167,0.57175,1.08734,0.74029,0.85417,0.80545,0.4826,2.00907,1.67779,2.50274,0.00147309,0.00147309,0.00147309
49,963.037,0.60058,0.51969,1.08626,0.96289,0.99732,0.995,0.88827,0.52744,0.36303,1.04944,0.00146896,0.00146896,0.00146896
