epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.793,1.12748,2.08768,1.52393,0.25022,0.00595,2e-05,0,6.36101,1584.66,141.405,0.000409483,0.000409483,0.000409483
2,581.681,1.14848,1.58341,1.4993,0.25022,0.00595,2e-05,0,6.51405,7.85565e+06,1501.27,0.000824105,0.000824105,0.000824105
3,889.619,1.05415,1.36592,1.41355,0.30329,0.20129,0.03381,0.00735,3.07568,7.78807,6.83438,0.00123666,0.00123666,0.00123666
4,1218.13,1.03724,1.27339,1.4058,0.28585,0.08843,0.01662,0.00484,3.03799,7.47193,3.92659,0.00124072,0.00124072,0.00124072
5,1504.23,0.93271,1.16768,1.33275,0.16266,0.55397,0.25692,0.07479,3.17119,3.17461,7.95424,0.00123763,0.00123763,0.00123763
6,1784.47,0.84367,1.02223,1.26357,0.58562,0.48533,0.38995,0.13209,2.86402,1.89394,5.79454,0.00123453,0.00123453,0.00123453
7,2063.32,0.80928,0.98396,1.23864,0.90896,0.42888,0.58403,0.48048,0.65129,1.30447,1.28124,0.00123144,0.00123144,0.00123144
8,2335.12,0.7714,0.91921,1.21556,0.63477,0.53724,0.50373,0.24399,1.99788,1.51113,3.20056,0.00122834,0.00122834,0.00122834
9,2609.23,0.73352,0.87277,1.18459,0.23982,0.4966,0.32754,0.09253,3.40639,2.82498,9.97202,0.00122525,0.00122525,0.00122525
10,2889.76,0.72299,0.82197,1.18047,0.28144,0.51782,0.26855,0.08606,2.76593,2.19372,4.97007,0.00122216,0.00122216,0.00122216
11,3180.7,0.7113,0.85078,1.17521,0.47043,0.6593,0.62188,0.40191,1.18684,1.56299,1.73203,0.00121906,0.00121906,0.00121906
12,3467.42,0.69057,0.80347,1.1608,0.5934,0.6323,0.67433,0.55108,0.58661,0.84583,1.18972,0.00121597,0.00121597,0.00121597
13,3749.82,0.6579,0.75216,1.14359,0.73015,0.74385,0.80178,0.66049,0.6289,0.65217,1.22224,0.00121287,0.00121287,0.00121287
14,4031.28,0.64835,0.74767,1.13686,0.41693,0.39003,0.28653,0.14185,2.40098,3.08548,3.0095,0.00120978,0.00120978,0.00120978
15,4307.39,0.60582,0.72702,1.11837,0.7131,0.9282,0.9309,0.81276,0.47029,0.56477,1.06513,0.00120669,0.00120669,0.00120669
16,4588.56,0.62506,0.73966,1.12022,0.19957,0.60302,0.21775,0.04901,3.45326,4.42512,9.23665,0.00120359,0.00120359,0.00120359
17,4872.78,0.63218,0.69376,1.12007,0.79913,0.84612,0.90611,0.79977,0.43133,0.57574,1.04151,0.0012005,0.0012005,0.0012005
18,5161.69,0.60749,0.69258,1.10725,0.87609,0.93274,0.97313,0.87208,0.46129,0.43044,1.05814,0.00119741,0.00119741,0.00119741
19,5454.88,0.60038,0.71398,1.10091,0.82498,0.84019,0.90392,0.80669,0.45957,0.53077,1.05466,0.00119431,0.00119431,0.00119431
20,5746.62,0.57834,0.64996,1.0923,0.95584,0.93191,0.97251,0.8695,0.50226,0.45118,1.07298,0.00119122,0.00119122,0.00119122
21,6037.65,0.58373,0.63898,1.08759,0.27367,0.59487,0.35384,0.10249,2.86942,2.18632,6.7878,0.00118812,0.00118812,0.00118812
22,6332.17,0.56544,0.61838,1.08028,0.88676,0.86329,0.96311,0.85282,0.42735,0.45639,1.02118,0.00118503,0.00118503,0.00118503
23,6626.39,0.5926,0.62498,1.10477,0.87392,0.79659,0.96337,0.85225,0.4748,0.45641,1.07124,0.00118194,0.00118194,0.00118194
24,6918.02,0.56882,0.62094,1.08592,0.36527,0.72834,0.4732,0.19151,2.35924,2.21525,3.74408,0.00117884,0.00117884,0.00117884
25,7215.4,0.55977,0.60311,1.07067,0.86761,0.92895,0.95985,0.84691,0.4291,0.39196,1.02679,0.00117575,0.00117575,0.00117575
26,7509.82,0.5479,0.58315,1.06447,0.89644,0.89382,0.96057,0.84833,0.42062,0.39015,1.02182,0.00117266,0.00117266,0.00117266
27,7806.62,0.56359,0.58588,1.08107,0.93662,0.94519,0.97382,0.8671,0.4301,0.38833,1.04363,0.00116956,0.00116956,0.00116956
28,8101.83,0.58031,0.60394,1.07632,0.73477,0.90825,0.92484,0.84107,0.41074,0.53541,1.01923,0.00116647,0.00116647,0.00116647
29,8407,0.55465,0.56883,1.07698,0.92884,0.94506,0.96972,0.85987,0.40298,0.37423,1.00645,0.00116337,0.00116337,0.00116337
30,8716.99,0.55404,0.59011,1.07834,0.95001,0.93108,0.9792,0.89125,0.42196,0.39178,1.02245,0.00116028,0.00116028,0.00116028
31,9032.06,0.54738,0.56819,1.06308,0.91484,0.94076,0.9759,0.86678,0.46206,0.3403,1.06156,0.00115719,0.00115719,0.00115719
32,9338.47,0.54795,0.57501,1.07646,0.18943,0.78437,0.28456,0.06178,3.32795,3.77886,8.93135,0.00115409,0.00115409,0.00115409
33,9642.64,0.52274,0.55795,1.06013,0.91219,0.94638,0.98246,0.8935,0.39142,0.44739,0.99758,0.001151,0.001151,0.001151
34,9947.12,0.55515,0.5789,1.07565,0.65594,0.73453,0.75282,0.66631,0.50321,0.57094,1.10915,0.00114791,0.00114791,0.00114791
35,10249.2,0.53064,0.53171,1.05472,0.80705,0.85216,0.87545,0.79373,0.39123,0.48975,1.0022,0.00114481,0.00114481,0.00114481
36,10551.9,0.53813,0.57284,1.06637,0.59133,0.59607,0.50336,0.23649,2.06936,1.67229,4.7249,0.00114172,0.00114172,0.00114172
37,10854.3,0.52642,0.55912,1.06784,0.92786,0.91871,0.97342,0.87559,0.43021,0.36128,1.02724,0.00113863,0.00113863,0.00113863
38,11160,0.5101,0.52607,1.04331,0.88696,0.95062,0.98675,0.89991,0.36757,0.32399,0.98145,0.00113553,0.00113553,0.00113553
39,11469.8,0.50242,0.51233,1.04198,0.88075,0.92197,0.94866,0.80845,0.55413,0.47073,1.24708,0.00113244,0.00113244,0.00113244
40,11787.6,0.53551,0.5471,1.05574,0.90982,0.94894,0.9578,0.87249,0.39312,0.34976,0.99989,0.00112934,0.00112934,0.00112934
41,12105.4,0.50987,0.54539,1.05283,0.88037,0.95,0.96601,0.88547,0.39455,0.37416,0.99403,0.00112625,0.00112625,0.00112625
42,12424.3,0.52378,0.52595,1.05401,0.94837,0.96262,0.97113,0.90013,0.36214,0.30007,0.97484,0.00112316,0.00112316,0.00112316
43,12756.2,0.51248,0.51891,1.04712,0.92592,0.94387,0.98022,0.88362,0.38355,0.34929,0.98095,0.00112006,0.00112006,0.00112006
44,13081.5,0.49823,0.50337,1.03163,0.86082,0.88262,0.963,0.90532,0.35389,0.3322,0.97744,0.00111697,0.00111697,0.00111697
45,13409.7,0.49897,0.53828,1.04352,0.80173,0.65785,0.81495,0.51912,1.52336,0.97888,2.03957,0.00111388,0.00111388,0.00111388
46,13736.9,0.50859,0.50634,1.05076,0.80991,0.75252,0.88907,0.59556,1.05267,0.77788,1.84884,0.00111078,0.00111078,0.00111078
47,14066.7,0.51054,0.49364,1.05345,0.91904,0.94383,0.97207,0.8994,0.37018,0.33276,0.98482,0.00110769,0.00110769,0.00110769
48,14397.7,0.52325,0.49868,1.046,0.883,0.94245,0.93731,0.85618,0.40987,0.38728,1.04654,0.00110459,0.00110459,0.00110459
49,14719.9,0.49001,0.49942,1.03407,0.94794,0.96063,0.98193,0.87735,0.44922,0.31548,1.03173,0.0011015,0.0011015,0.0011015
50,15043.9,0.48752,0.46745,1.04599,0.94511,0.96799,0.96674,0.82641,0.42863,0.32912,1.08623,0.00109841,0.00109841,0.00109841
51,15369.4,0.4819,0.46568,1.0296,0.96377,0.93098,0.98621,0.90383,0.41844,0.31836,1.01702,0.00109531,0.00109531,0.00109531
52,15697.3,0.48389,0.48425,1.02787,0.30873,0.56516,0.40729,0.15767,2.48959,1.91029,5.1694,0.00109222,0.00109222,0.00109222
53,16023.4,0.48504,0.4635,1.03291,0.94613,0.9435,0.97257,0.91318,0.37001,0.29799,0.98031,0.00108913,0.00108913,0.00108913
54,16352.3,0.4919,0.4872,1.03242,0.89448,0.92359,0.97622,0.90493,0.35929,0.31407,0.97458,0.00108603,0.00108603,0.00108603
55,16720.6,0.48244,0.4674,1.03011,0.88913,0.89015,0.89661,0.83268,0.36927,0.35247,0.97176,0.00108294,0.00108294,0.00108294
56,17079.5,0.47561,0.45526,1.03006,0.71359,0.70928,0.80827,0.59383,1.0039,0.91131,2.26058,0.00107984,0.00107984,0.00107984
57,17442.7,0.48941,0.4527,1.04321,0.92678,0.95463,0.96884,0.87496,0.41757,0.27636,1.01084,0.00107675,0.00107675,0.00107675
58,17800.9,0.48137,0.47118,1.03089,0.98273,0.94232,0.99084,0.9128,0.36309,0.29273,0.97574,0.00107366,0.00107366,0.00107366
